	word pair	human	score	difference
0	('environment', 'ecology')	8.81	4.908168613910675	3.9018313860893254
1	('Maradona', 'football')	8.62	3.4767091274261475	5.143290872573852
2	('OPEC', 'oil')	8.59	4.612138271331787	3.9778617286682127
3	('money', 'bank')	8.5	3.9832162857055664	4.516783714294434
4	('computer', 'software')	8.5	5.632306337356567	2.8676936626434326
5	('Jerusalem', 'Israel')	8.46	7.241561412811279	1.2184385871887216
6	('law', 'lawyer')	8.38	4.56531435251236	3.814685647487641
7	('weather', 'forecast')	8.34	5.5239951610565186	2.8160048389434813
8	('network', 'hardware')	8.31	3.000304102897644	5.3096958971023565
9	('nature', 'environment')	8.31	4.4472140073776245	3.862785992622376
10	('FBI', 'investigation')	8.31	5.040625333786011	3.2693746662139898
11	('money', 'wealth')	8.27	4.444532692432404	3.825467307567596
12	('psychology', 'Freud')	8.21	3.743986487388611	4.46601351261139
13	('news', 'report')	8.16	4.103528261184692	4.056471738815308
14	('war', 'troops')	8.13	4.260476231575012	3.8695237684249886
15	('physics', 'proton')	8.12	3.6621123552322388	4.4578876447677604
16	('bank', 'money')	8.12	3.9832162857055664	4.136783714294433
17	('planet', 'galaxy')	8.11	6.194401979446411	1.9155980205535883
18	('stock', 'market')	8.08	4.766862094402313	3.313137905597687
19	('planet', 'constellation')	8.06	3.1202852725982666	4.939714727401734
20	('credit', 'card')	8.06	5.256392955780029	2.803607044219971
21	('hotel', 'reservation')	8.03	4.487646222114563	3.5423537778854364
22	('closet', 'clothes')	8.0	4.932721257209778	3.067278742790222
23	('soap', 'opera')	7.94	5.0216299295425415	2.918370070457459
24	('planet', 'astronomer')	7.94	3.043263554573059	4.896736445426941
25	('planet', 'space')	7.92	3.5123297572135925	4.407670242786407
26	('movie', 'theater')	7.92	5.732839107513428	2.187160892486572
27	('treatment', 'recovery')	7.91	4.1210222244262695	3.7889777755737306
28	('baby', 'mother')	7.85	5.261794924736023	2.5882050752639767
29	('money', 'deposit')	7.73	3.8688310980796814	3.861168901920319
