	word pair	human	score	difference
0	('money', 'bank')	8.5	2.613208293914795	5.886791706085205
1	('Jerusalem', 'Israel')	8.46	6.638746857643127	1.8212531423568734
2	('law', 'lawyer')	8.38	3.446575403213501	4.9334245967865
3	('weather', 'forecast')	8.34	3.6272072792053223	4.712792720794678
4	('network', 'hardware')	8.31	2.9377809166908264	5.372219083309174
5	('nature', 'environment')	8.31	4.028487205505371	4.281512794494629
6	('FBI', 'investigation')	8.31	4.171351790428162	4.138648209571839
7	('money', 'wealth')	8.27	3.295102119445801	4.974897880554199
8	('psychology', 'Freud')	8.21	3.330826163291931	4.87917383670807
9	('news', 'report')	8.16	3.1236356496810913	5.036364350318909
10	('war', 'troops')	8.13	4.761477708816528	3.3685222911834725
11	('physics', 'proton')	8.12	3.6640602350234985	4.455939764976501
12	('bank', 'money')	8.12	2.613208293914795	5.506791706085204
13	('planet', 'galaxy')	8.11	6.3385093212127686	1.7714906787872309
14	('stock', 'market')	8.08	4.680555462837219	3.399444537162781
15	('credit', 'card')	8.06	2.681567966938019	5.378432033061982
16	('hotel', 'reservation')	8.03	3.028251826763153	5.001748173236846
17	('closet', 'clothes')	8.0	4.177303314208984	3.8226966857910156
18	('soap', 'opera')	7.94	1.955799162387848	5.9842008376121525
19	('planet', 'astronomer')	7.94	3.0787530541419983	4.861246945858002
20	('planet', 'space')	7.92	2.8036758303642273	5.116324169635773
21	('movie', 'theater')	7.92	4.74190354347229	3.17809645652771
22	('treatment', 'recovery')	7.91	2.4930651485919952	5.416934851408005
23	('baby', 'mother')	7.85	5.839768648147583	2.0102313518524166
24	('money', 'deposit')	7.73	2.604115903377533	5.1258840966224675
25	('television', 'film')	7.72	3.4557005763053894	4.26429942369461
26	('psychology', 'mind')	7.69	2.504989802837372	5.185010197162629
27	('game', 'team')	7.69	4.96656209230423	2.7234379076957707
28	('admission', 'ticket')	7.69	4.368829727172852	3.321170272827149
29	('computer', 'keyboard')	7.62	3.963916301727295	3.656083698272705
30	('money', 'property')	7.57	2.682446241378784	4.887553758621216
31	('tennis', 'racket')	7.56	3.920081853866577	3.6399181461334225
32	('canyon', 'landscape')	7.53	2.4369607865810394	5.093039213418961
33	('day', 'dawn')	7.53	3.3108583092689514	4.219141690731049
34	('telephone', 'communication')	7.5	3.3218443393707275	4.1781556606292725
35	('currency', 'market')	7.5	3.3829981088638306	4.117001891136169
36	('seafood', 'sea')	7.47	3.150906562805176	4.319093437194824
37	('book', 'paper')	7.46	3.6346247792243958	3.825375220775604
38	('book', 'library')	7.46	3.2453131675720215	4.2146868324279785
39	('psychology', 'depression')	7.42	3.135564923286438	4.284435076713562
40	('fighting', 'defeating')	7.41	3.445204496383667	3.964795503616333
41	('movie', 'star')	7.38	2.641991376876831	4.738008623123169
42	('hundred', 'percent')	7.38	1.8021878600120544	5.5778121399879455
43	('dollar', 'profit')	7.38	2.5337427854537964	4.8462572145462035
