	word pair	human	score	difference
0	('tiger', 'tiger')	10.0	10.0	0.0
1	('fuck', 'sex')	9.44	2.233918011188507	7.206081988811492
2	('journey', 'voyage')	9.29	6.830852627754211	2.4591473722457877
3	('midday', 'noon')	9.29	5.527406930923462	3.7625930690765372
4	('dollar', 'buck')	9.22	2.562117576599121	6.6578824234008795
5	('money', 'cash')	9.15	6.151221990585327	2.998778009414673
6	('coast', 'shore')	9.1	5.083668231964111	4.016331768035888
7	('money', 'currency')	9.04	1.6010111570358276	7.4389888429641715
8	('football', 'soccer')	9.03	7.313546538352966	1.716453461647033
9	('magician', 'wizard')	9.02	4.863496124744415	4.156503875255584
10	('type', 'kind')	8.97	6.666412353515625	2.3035876464843756
11	('gem', 'jewel')	8.96	6.210810542106628	2.7491894578933724
12	('car', 'automobile')	8.94	5.838367938995361	3.101632061004638
13	('street', 'avenue')	8.88	3.8327044248580933	5.0472955751419075
14	('boy', 'lad')	8.83	5.886158347129822	2.9438416528701783
15	('furnace', 'stove')	8.79	6.083911657333374	2.706088342666625
16	('seafood', 'lobster')	8.7	6.544079780578613	2.155920219421386
17	('mile', 'kilometer')	8.66	7.258477807044983	1.4015221929550172
18	('king', 'queen')	8.58	6.510958671569824	2.069041328430176
19	('murder', 'manslaughter')	8.53	6.05765163898468	2.472348361015319
20	('planet', 'star')	8.45	1.931711584329605	6.518288415670394
21	('calculation', 'computation')	8.44	6.076955795288086	2.3630442047119136
22	('money', 'dollar')	8.42	3.135656714439392	5.284343285560608
23	('championship', 'tournament')	8.36	6.655315160751343	1.7046848392486567
24	('seafood', 'food')	8.34	5.295586585998535	3.0444134140014647
25	('man', 'woman')	8.3	7.664012908935547	0.6359870910644538
26	('Harvard', 'Yale')	8.13	7.8176963329315186	0.3123036670684822
27	('psychology', 'psychiatry')	8.08	5.55628776550293	2.5237122344970704
28	('planet', 'moon')	8.08	5.024791955947876	3.055208044052124
29	('planet', 'sun')	8.02	3.2067441940307617	4.813255805969238
30	('tiger', 'feline')	8.0	4.2671433091163635	3.7328566908836365
31	('liquid', 'water')	7.89	3.653528392314911	4.236471607685089
32	('life', 'death')	7.88	3.6187773942947388	4.261222605705261
33	('aluminum', 'metal')	7.83	6.375765800476074	1.4542341995239259
34	('cell', 'phone')	7.81	2.8629887104034424	4.947011289596557
35	('lobster', 'food')	7.81	3.051046133041382	4.758953866958618
36	('dollar', 'yen')	7.78	5.745355486869812	2.0346445131301882
37	('wood', 'forest')	7.73	4.1751620173454285	3.554837982654572
38	('dividend', 'payment')	7.63	2.7859145402908325	4.844085459709167
39	('profit', 'loss')	7.63	3.4199461340904236	4.210053865909576
40	('century', 'year')	7.59	3.348371386528015	4.241628613471985
41	('rock', 'jazz')	7.59	4.527711272239685	3.062288727760315
42	('announcement', 'news')	7.56	4.673330783843994	2.8866692161560055
43	('food', 'fruit')	7.52	3.7409260869026184	3.779073913097381
44	('Mexico', 'Brazil')	7.44	4.954920411109924	2.485079588890076
45	('media', 'radio')	7.42	3.899162709712982	3.5208372902870178
46	('bird', 'crane')	7.38	3.0286186933517456	4.351381306648254
47	('tiger', 'cat')	7.35	5.172964334487915	2.1770356655120846
48	('physics', 'chemistry')	7.35	4.37198281288147	2.97801718711853
49	('museum', 'theater')	7.19	3.3256372809410095	3.864362719058991
50	('phone', 'equipment')	7.13	1.3774022459983826	5.752597754001617
51	('bird', 'cock')	7.1	3.6290234327316284	3.4709765672683712
52	('doctor', 'nurse')	7.0	6.319524049758911	0.6804759502410889
53	('tiger', 'animal')	7.0	5.096532106399536	1.9034678936004639
54	('street', 'block')	6.88	2.6695939898490906	4.210406010150909
55	('opera', 'performance')	6.88	1.7167475819587708	5.163252418041229
56	('drink', 'eat')	6.87	5.070199966430664	1.799800033569336
57	('tiger', 'mammal')	6.85	4.964473843574524	1.8855261564254757
58	('student', 'professor')	6.81	4.2066192626953125	2.603380737304687
59	('football', 'basketball')	6.81	6.682467460632324	0.1275325393676754
60	('television', 'radio')	6.77	6.114970445632935	0.655029554367065
61	('psychology', 'science')	6.71	4.808833599090576	1.9011664009094238
62	('bishop', 'rabbi')	6.69	4.2778125405311584	2.412187459468842
63	('football', 'tennis')	6.63	5.05117654800415	1.5788234519958495
